Id,Kind,Created at,Real money amount,Bonus amount,Confiscated bonus amount,Amount,Currency,Cash balance,Bonus balance,Converted amount,Confiscated amount,Balance
60123215,casino_wager,21 May 2025 14:27:35,-250.0,0.0,0.0,-250.0,EUR,2500.5216,0.0,0.0,0.0,2500.5216
60122961,casino_wager,21 May 2025 14:26:39,-750.0,0.0,0.0,-750.0,EUR,2750.5216,0.0,0.0,0.0,2750.5216
60122504,casino_result,21 May 2025 14:25:33,0.0,0.0,0.0,0.0,EUR,3500.5216,0.0,0.0,0.0,3500.5216
60122446,casino_result,21 May 2025 14:25:29,0.0,0.0,0.0,0.0,EUR,3500.5216,0.0,0.0,0.0,3500.5216
60122440,casino_result,21 May 2025 14:25:29,0.0,0.0,0.0,0.0,EUR,3500.5216,0.0,0.0,0.0,3500.5216
60122436,balance_reservation_release,21 May 2025 14:25:28,3500.3416,0.0,0.0,3500.3416,EUR,3500.5216,0.0,0.0,0.0,3500.5216
60122434,poolbet_withdrawal,21 May 2025 14:25:28,0.0,0.0,0.0,0.0,EUR,0.18,0.0,0.0,0.0,0.18
60122387,casino_wager,21 May 2025 14:25:22,-3.0,0.0,0.0,-3.0,EUR,0.18,0.0,0.0,0.0,0.18
60122303,casino_result,21 May 2025 14:25:02,1.76,0.0,0.0,1.76,EUR,3.18,0.0,0.0,0.0,3.18
60122301,casino_wager,21 May 2025 14:25:02,-4.8,0.0,0.0,-4.8,EUR,1.42,0.0,0.0,0.0,1.42
60122209,casino_result,21 May 2025 14:24:41,3.76,0.0,0.0,3.76,EUR,6.22,0.0,0.0,0.0,6.22
60122207,casino_wager,21 May 2025 14:24:40,-9.6,0.0,0.0,-9.6,EUR,2.46,0.0,0.0,0.0,2.46
60122078,casino_result,21 May 2025 14:24:24,2.24,0.0,0.0,2.24,EUR,12.06,0.0,0.0,0.0,12.06
60122075,casino_wager,21 May 2025 14:24:23,-9.6,0.0,0.0,-9.6,EUR,9.82,0.0,0.0,0.0,9.82
60121971,casino_result,21 May 2025 14:24:12,2.0,0.0,0.0,2.0,EUR,19.42,0.0,0.0,0.0,19.42
60121967,casino_wager,21 May 2025 14:24:12,-9.6,0.0,0.0,-9.6,EUR,17.42,0.0,0.0,0.0,17.42
60121929,casino_result,21 May 2025 14:24:08,1.6,0.0,0.0,1.6,EUR,27.02,0.0,0.0,0.0,27.02
60121925,casino_wager,21 May 2025 14:24:08,-9.6,0.0,0.0,-9.6,EUR,25.42,0.0,0.0,0.0,25.42
60121827,casino_result,21 May 2025 14:23:55,0.72,0.0,0.0,0.72,EUR,35.02,0.0,0.0,0.0,35.02
60121622,casino_wager,21 May 2025 14:23:19,-80.0,0.0,0.0,-80.0,EUR,34.3,0.0,0.0,0.0,34.3
60121603,casino_result,21 May 2025 14:23:15,90.0,0.0,0.0,90.0,EUR,114.3,0.0,0.0,0.0,114.3
60121349,casino_wager,21 May 2025 14:22:38,-200.0,0.0,0.0,-200.0,EUR,24.3,0.0,0.0,0.0,24.3
60121319,casino_result,21 May 2025 14:22:34,197.16,0.0,0.0,197.16,EUR,224.3,0.0,0.0,0.0,224.3
60120832,casino_wager,21 May 2025 14:21:40,-120.0,0.0,0.0,-120.0,EUR,27.14,0.0,0.0,0.0,27.14
60120813,casino_result,21 May 2025 14:21:37,114.4,0.0,0.0,114.4,EUR,147.14,0.0,0.0,0.0,147.14
60120419,casino_wager,21 May 2025 14:20:49,-80.0,0.0,0.0,-80.0,EUR,32.74,0.0,0.0,0.0,32.74
60120385,casino_result,21 May 2025 14:20:46,102.36,0.0,0.0,102.36,EUR,112.74,0.0,0.0,0.0,112.74
60120003,casino_wager,21 May 2025 14:19:57,-120.0,0.0,0.0,-120.0,EUR,10.38,0.0,0.0,0.0,10.38
60119890,casino_result,21 May 2025 14:19:39,78.02,0.0,0.0,78.02,EUR,130.38,0.0,0.0,0.0,130.38
60119370,casino_wager,21 May 2025 14:18:16,-133.8,0.0,0.0,-133.8,EUR,52.36,0.0,0.0,0.0,52.36
60119273,casino_result,21 May 2025 14:18:01,26.04,0.0,0.0,26.04,EUR,186.16,0.0,0.0,0.0,186.16
60119009,casino_wager,21 May 2025 14:17:23,-120.0,0.0,0.0,-120.0,EUR,160.12,0.0,0.0,0.0,160.12
60118932,casino_result,21 May 2025 14:17:10,50.84,0.0,0.0,50.84,EUR,280.12,0.0,0.0,0.0,280.12
60118609,casino_wager,21 May 2025 14:16:08,-100.0,0.0,0.0,-100.0,EUR,229.28,0.0,0.0,0.0,229.28
60118585,casino_result,21 May 2025 14:16:04,50.36,0.0,0.0,50.36,EUR,329.28,0.0,0.0,0.0,329.28
60118373,casino_wager,21 May 2025 14:15:25,-100.0,0.0,0.0,-100.0,EUR,278.92,0.0,0.0,0.0,278.92
60118286,casino_result,21 May 2025 14:15:09,44.58,0.0,0.0,44.58,EUR,378.92,0.0,0.0,0.0,378.92
60117714,casino_wager,21 May 2025 14:13:44,-80.0,0.0,0.0,-80.0,EUR,334.34,0.0,0.0,0.0,334.34
60117705,casino_result,21 May 2025 14:13:42,15.3,0.0,0.0,15.3,EUR,414.34,0.0,0.0,0.0,414.34
60117323,casino_wager,21 May 2025 14:12:35,-80.0,0.0,0.0,-80.0,EUR,399.04,0.0,0.0,0.0,399.04
60117156,casino_result,21 May 2025 14:12:09,45.5,0.0,0.0,45.5,EUR,479.04,0.0,0.0,0.0,479.04
60116941,casino_wager,21 May 2025 14:11:20,-100.0,0.0,0.0,-100.0,EUR,433.54,0.0,0.0,0.0,433.54
60116892,casino_result,21 May 2025 14:11:11,196.4,0.0,0.0,196.4,EUR,533.54,0.0,0.0,0.0,533.54
60116585,casino_wager,21 May 2025 14:09:56,-100.0,0.0,0.0,-100.0,EUR,337.14,0.0,0.0,0.0,337.14
60116553,casino_result,21 May 2025 14:09:49,45.66,0.0,0.0,45.66,EUR,437.14,0.0,0.0,0.0,437.14
60116349,casino_wager,21 May 2025 14:08:57,-100.0,0.0,0.0,-100.0,EUR,391.48,0.0,0.0,0.0,391.48
60116249,casino_result,21 May 2025 14:08:34,36.66,0.0,0.0,36.66,EUR,491.48,0.0,0.0,0.0,491.48
60115821,casino_wager,21 May 2025 14:07:05,-96.0,0.0,0.0,-96.0,EUR,454.82,0.0,0.0,0.0,454.82
